7.2.1 - Renewable energy share in the total final energy consumption (%),7.a.1 - International financial flows to developing countries in support of clean energy R&D and renewable energy production (millions of constant 2020 United States dollars),7.b.1 - Installed renewable electricity-generating capacity (watts per capita),9.4.1 - Annual CO₂ emissions per GDP (kg per international-$),9.5.1 - Research and development expenditure (% of GDP),Assigned Score
17.96,72370000.0,9.68,0.16004221,,0.3546286770045735
,,,0.14393063,,0.5029248188810076
0.19,50000.0,16.36,0.29014215,,0.29766964782569333
18.58,,,,,0.41734020598067467
55.94,120000.0,99.95,0.12183545,,0.5569312960675532
0.7,0.0,95.1,,,0.35687349142140823
10.52,401880000.0,258.41,0.21775395,0.49435,0.536923535761843
11.13,28450000.0,478.27,0.17496684,0.18876,0.686690278675477
8.31,,359.56,,,0.5940585003473035
9.6,,,0.3353498,,0.3887057268837548
34.08,,,0.17414913,3.09058,0.4752631049701081
1.93,0.0,125.76,0.21552478,0.18416,0.3876413017654095
1.2,110000.0,3.4,,,0.2895020551268753
0.0,,4.73,0.52169615,,0.309077302473163
25.79,242520000.0,2.68,0.12025212,,0.38356136995814594
4.15,50000.0,78.73,0.4708516,,0.36797939880125474
7.21,16030000.0,,0.34834445,0.60443,0.3762069652987716
10.65,,,0.2200061,2.86031,0.3916173111445594
35.53,16500000.0,289.67,,,0.6320784535337187
43.97,1970000.0,0.28,0.27863306,,0.4454952581745355
0.68,,,,0.22856,0.35637838919288817
82.61,120000.0,2119.41,,,2.1848433763344564
14.33,84060000.0,79.49,0.29722908,,0.4011496409480366
35.36,1340000.0,,0.53468156,0.19485,0.4877185494749206
25.11,10000.0,1.51,0.20935686,,0.37387957809304645
46.95,343670000.0,649.86,0.16119187,1.16769,0.9605828817815494
1.24,,22.91,,,0.31407120406272937
0.01,,2.76,,0.27763,0.2989894347527146
19.59,,,0.32893404,0.75379,0.42963801174726757
69.13,36130000.0,4.64,0.15998933,,0.5367511372282112
85.65,10300000.0,4.99,0.08819639,0.21312,0.5975901342159421
58.15,16180000.0,87.96,0.23401767,,0.5621002268225923
78.57,1045190000.0,29.77,0.126634,,0.6328448490297653
21.92,,,0.34567255,1.67917,0.4389846241164354
23.13,0.0,61.86,0.13872072,,0.40876039358315575
0.01,,152.84,,,0.40762557599738986
91.42,3830000.0,3.76,0.061373834,,0.6115945992047096
73.13,0.0,0.21,0.07636293,,0.5424471761157367
,,,,,0.5078947368421053
25.46,0.0,580.49,0.20453487,0.36647,0.8165344177287488
13.55,327480000.0,490.78,0.57041377,2.14058,0.737176955075246
30.57,148230000.0,247.46,0.1336278,0.31233,0.5869742536294728
